TT,AHU3_CCV-AHU3-Percentage,AHU3_DSP-AHU3-inch,AHU3_DSPSP-AHU3-inch,AHU3_MAT-AHU3-degree Fahrenheit,AHU3_MaxDMP-AHU3-Percentage,AHU3_RAT-AHU3-degree Fahrenheit,AHU3_RHV-AHU3-Percentage,AHU3_SAT-AHU3-degree Fahrenheit,AHU3_SATSP-AHU3-degree Fahrenheit,AHU3_SFC-AHU3-No Unit,AHU3_SFS-AHU3-No Unit,AHU3_SupCFM-AHU3-cubic foot per minute,
Fri  Feb 21 07:00:00  CST,0.00  ( OK ),,,65.37  ( OK ),0.00  ( OK ),72.20  ( OK ),0.00  ( OK ),67.65  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 07:15:00  CST,0.00  ( OK ),,,65.60  ( OK ),0.00  ( OK ),72.37  ( OK ),0.00  ( OK ),75.06  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 07:30:00  CST,0.00  ( OK ),,,65.72  ( OK ),0.00  ( OK ),72.69  ( OK ),0.00  ( OK ),75.91  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 07:45:00  CST,0.00  ( OK ),,,66.56  ( OK ),0.00  ( OK ),72.90  ( OK ),0.00  ( OK ),77.70  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 08:00:00  CST,0.00  ( OK ),,,66.73  ( OK ),0.00  ( OK ),73.07  ( OK ),0.00  ( OK ),78.42  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 08:15:00  CST,0.00  ( OK ),,,66.58  ( OK ),0.00  ( OK ),73.07  ( OK ),0.00  ( OK ),74.22  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 08:30:00  CST,0.00  ( OK ),,,66.55  ( OK ),0.00  ( OK ),73.01  ( OK ),9.55  ( OK ),71.48  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 08:45:00  CST,0.00  ( OK ),,,66.37  ( OK ),0.00  ( OK ),72.95  ( OK ),0.00  ( OK ),72.80  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 09:00:00  CST,0.00  ( OK ),,,66.53  ( OK ),0.00  ( OK ),72.86  ( OK ),0.00  ( OK ),74.85  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 09:15:00  CST,0.00  ( OK ),,,66.17  ( OK ),0.00  ( OK ),72.83  ( OK ),0.00  ( OK ),76.92  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 09:30:00  CST,0.00  ( OK ),,,66.38  ( OK ),0.00  ( OK ),72.82  ( OK ),0.00  ( OK ),78.18  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 09:45:00  CST,0.00  ( OK ),,,66.16  ( OK ),0.00  ( OK ),72.86  ( OK ),0.00  ( OK ),77.88  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 10:00:00  CST,0.00  ( OK ),,,66.40  ( OK ),0.00  ( OK ),72.97  ( OK ),11.39  ( OK ),71.48  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 10:15:00  CST,0.00  ( OK ),,,66.25  ( OK ),0.00  ( OK ),73.12  ( OK ),6.93  ( OK ),71.66  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 10:30:00  CST,0.00  ( OK ),,,66.26  ( OK ),0.00  ( OK ),73.13  ( OK ),0.00  ( OK ),73.30  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 10:45:00  CST,0.00  ( OK ),,,66.38  ( OK ),0.00  ( OK ),73.24  ( OK ),0.00  ( OK ),75.61  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 11:00:00  CST,0.00  ( OK ),,,67.18  ( OK ),0.00  ( OK ),73.40  ( OK ),0.00  ( OK ),78.24  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 11:15:00  CST,0.00  ( OK ),,,66.78  ( OK ),0.00  ( OK ),73.56  ( OK ),8.23  ( OK ),71.13  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 11:30:00  CST,0.00  ( OK ),,,66.94  ( OK ),0.00  ( OK ),73.58  ( OK ),0.00  ( OK ),74.47  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 11:45:00  CST,0.00  ( OK ),,,67.21  ( OK ),0.00  ( OK ),73.77  ( OK ),0.00  ( OK ),77.09  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 12:00:00  CST,0.00  ( OK ),,,67.33  ( OK ),0.00  ( OK ),73.95  ( OK ),4.80  ( OK ),71.51  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 12:15:00  CST,0.00  ( OK ),,,67.95  ( OK ),0.00  ( OK ),73.90  ( OK ),0.00  ( OK ),76.53  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 12:30:00  CST,0.00  ( OK ),,,67.63  ( OK ),0.00  ( OK ),74.03  ( OK ),7.11  ( OK ),71.33  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 12:45:00  CST,0.00  ( OK ),,,68.04  ( OK ),0.00  ( OK ),74.01  ( OK ),0.00  ( OK ),76.71  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 13:00:00  CST,0.00  ( OK ),,,67.55  ( OK ),0.00  ( OK ),74.12  ( OK ),2.89  ( OK ),71.80  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 13:15:00  CST,0.00  ( OK ),,,68.02  ( OK ),0.00  ( OK ),74.00  ( OK ),0.00  ( OK ),76.91  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
