TT,AHU6_CCV-AHU6-Percentage,AHU6_DSP-AHU6-inch,AHU6_DSPSP-AHU6-inch,AHU6_MAT-AHU6-degree Fahrenheit,AHU6_MaxDMP-AHU6-Percentage,AHU6_RAT-AHU6-degree Fahrenheit,AHU6_SAT-AHU6-degree Fahrenheit,AHU6_SATSP-AHU6-degree Fahrenheit,AHU6_SFC-AHU6-No Unit,AHU6_SFS-AHU6-No Unit,AHU6_SupCFM-AHU6-cubic foot per minute,AHU6_SupVFD-AHU6-Percentage,
Mon  May 12 18:45:00  CDT,28.55  ( OK ),1.63  ( OK ),1.50  ( OK ),68.85  ( OK ),0.00  ( OK ),71.97  ( OK ),55.96  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),6045.69  ( OK ),72.42  ( OK ),
Mon  May 12 19:00:00  CDT,27.51  ( OK ),1.65  ( OK ),1.50  ( OK ),68.84  ( OK ),0.00  ( OK ),71.96  ( OK ),55.96  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),5434.28  ( OK ),69.03  ( OK ),
Mon  May 12 19:15:00  CDT,26.00  ( OK ),1.65  ( OK ),1.50  ( OK ),68.85  ( OK ),0.00  ( OK ),72.02  ( OK ),55.85  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4844.80  ( OK ),66.96  ( OK ),
Mon  May 12 19:30:00  CDT,40.28  ( OK ),1.60  ( OK ),1.50  ( OK ),68.91  ( OK ),0.00  ( OK ),72.05  ( OK ),58.27  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),4616.98  ( OK ),65.28  ( OK ),
Mon  May 12 19:45:00  CDT,99.99  ( OK ),1.43  ( OK ),1.50  ( OK ),69.54  ( OK ),0.00  ( OK ),72.66  ( OK ),69.36  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),5770.61  ( OK ),67.08  ( OK ),
Mon  May 12 20:00:00  CDT,99.99  ( OK ),1.22  ( OK ),1.50  ( OK ),70.12  ( OK ),0.00  ( OK ),73.20  ( OK ),71.54  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),7926.84  ( OK ),71.93  ( OK ),
Mon  May 12 20:15:00  CDT,99.99  ( OK ),1.31  ( OK ),1.50  ( OK ),71.24  ( OK ),0.00  ( OK ),73.58  ( OK ),72.83  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),9270.70  ( OK ),75.38  ( OK ),
Mon  May 12 20:30:00  CDT,99.99  ( OK ),1.09  ( OK ),1.50  ( OK ),71.86  ( OK ),0.00  ( OK ),73.96  ( OK ),73.92  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),11540.85  ( OK ),82.96  ( OK ),
Mon  May 12 20:45:00  CDT,99.99  ( OK ),0.92  ( OK ),1.50  ( OK ),72.17  ( OK ),0.00  ( OK ),74.36  ( OK ),74.79  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),13819.54  ( OK ),94.12  ( OK ),
Mon  May 12 21:00:00  CDT,99.99  ( OK ),0.83  ( OK ),1.50  ( OK ),72.47  ( OK ),0.00  ( OK ),74.82  ( OK ),75.44  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),14690.63  ( OK ),99.99  ( OK ),
Mon  May 12 21:15:00  CDT,99.99  ( OK ),0.75  ( OK ),1.50  ( OK ),72.62  ( OK ),0.00  ( OK ),75.04  ( OK ),75.63  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15128.71  ( OK ),99.99  ( OK ),
Mon  May 12 21:30:00  CDT,99.99  ( OK ),0.72  ( OK ),1.50  ( OK ),72.78  ( OK ),0.00  ( OK ),75.27  ( OK ),75.91  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15353.11  ( OK ),99.99  ( OK ),
Mon  May 12 21:45:00  CDT,99.99  ( OK ),0.66  ( OK ),1.50  ( OK ),72.91  ( OK ),0.00  ( OK ),75.43  ( OK ),76.23  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),0.00  ( OK ),99.99  ( OK ),
Mon  May 12 22:00:00  CDT,99.99  ( OK ),0.67  ( OK ),1.50  ( OK ),72.99  ( OK ),0.00  ( OK ),75.63  ( OK ),76.41  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15269.20  ( OK ),99.99  ( OK ),
Mon  May 12 22:15:00  CDT,99.99  ( OK ),0.64  ( OK ),1.50  ( OK ),73.09  ( OK ),0.00  ( OK ),75.80  ( OK ),76.55  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15551.38  ( OK ),99.99  ( OK ),
Mon  May 12 22:30:00  CDT,99.99  ( OK ),0.63  ( OK ),1.50  ( OK ),73.17  ( OK ),0.00  ( OK ),75.99  ( OK ),76.67  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15520.84  ( OK ),99.99  ( OK ),
Mon  May 12 22:45:00  CDT,99.99  ( OK ),0.62  ( OK ),1.50  ( OK ),73.17  ( OK ),0.00  ( OK ),76.05  ( OK ),76.71  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15380.61  ( OK ),99.99  ( OK ),
Mon  May 12 23:00:00  CDT,99.99  ( OK ),0.63  ( OK ),1.50  ( OK ),73.10  ( OK ),0.00  ( OK ),75.90  ( OK ),76.70  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15483.92  ( OK ),99.99  ( OK ),
Mon  May 12 23:15:00  CDT,99.99  ( OK ),0.62  ( OK ),1.50  ( OK ),73.09  ( OK ),0.00  ( OK ),75.96  ( OK ),76.71  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15268.07  ( OK ),99.99  ( OK ),
Mon  May 12 23:30:00  CDT,99.99  ( OK ),0.62  ( OK ),1.50  ( OK ),71.40  ( OK ),0.00  ( OK ),75.83  ( OK ),75.20  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15485.34  ( OK ),99.99  ( OK ),
