Facility,OutofOcc,DATDevH,DATDevC,DSPDev,SimHC,LeakyVlv,LeakyDamp,StuckDamp,EconMalf
Default,90,180,180,180,180,180,180,180,180
HAUN,90,180,180,180,180,180,0.5,180,180
