TT,Global_OAH-global-Percentage,Global_OAT-global-degree Fahrenheit,OAWB-global-degree Fahrenheit,
Fri  Apr 04 07:45:00  CST,90.18  ( OK ),45.99  ( OK ),44.60  ( OK ),
Fri  Apr 04 08:00:00  CST,90.09  ( OK ),46.76  ( OK ),45.34  ( OK ),
Fri  Apr 04 08:15:00  CST,89.06  ( OK ),47.45  ( OK ),45.89  ( OK ),
Fri  Apr 04 08:30:00  CST,89.14  ( OK ),46.73  ( OK ),45.20  ( OK ),
Fri  Apr 04 08:45:00  CST,88.92  ( OK ),45.18  ( OK ),43.63  ( OK ),
Fri  Apr 04 09:00:00  CST,87.82  ( OK ),44.19  ( OK ),42.50  ( OK ),
Fri  Apr 04 09:15:00  CST,86.66  ( OK ),44.67  ( OK ),42.83  ( OK ),
Fri  Apr 04 09:30:00  CST,84.38  ( OK ),44.74  ( OK ),42.60  ( OK ),
Fri  Apr 04 09:45:00  CST,84.52  ( OK ),44.03  ( OK ),41.94  ( OK ),
Fri  Apr 04 10:00:00  CST,84.34  ( OK ),43.36  ( OK ),41.27  ( OK ),
Fri  Apr 04 10:15:00  CST,83.56  ( OK ),43.21  ( OK ),41.04  ( OK ),
Fri  Apr 04 10:30:00  CST,83.25  ( OK ),43.14  ( OK ),40.90  ( OK ),
Fri  Apr 04 10:45:00  CST,81.83  ( OK ),43.47  ( OK ),41.00  ( OK ),
Fri  Apr 04 11:00:00  CST,81.62  ( OK ),43.05  ( OK ),40.60  ( OK ),
Fri  Apr 04 11:15:00  CST,81.44  ( OK ),42.83  ( OK ),40.40  ( OK ),
Fri  Apr 04 11:30:00  CST,80.44  ( OK ),42.90  ( OK ),40.31  ( OK ),
Fri  Apr 04 11:45:00  CST,80.37  ( OK ),42.64  ( OK ),40.06  ( OK ),
Fri  Apr 04 12:00:00  CST,80.21  ( OK ),42.36  ( OK ),39.77  ( OK ),
Fri  Apr 04 12:15:00  CST,80.57  ( OK ),42.27  ( OK ),39.70  ( OK ),
Fri  Apr 04 12:30:00  CST,80.23  ( OK ),42.23  ( OK ),39.66  ( OK ),
Fri  Apr 04 12:45:00  CST,80.30  ( OK ),41.92  ( OK ),39.40  ( OK ),
Fri  Apr 04 13:00:00  CST,80.65  ( OK ),41.66  ( OK ),39.17  ( OK ),
Fri  Apr 04 13:15:00  CST,77.03  ( OK ),42.07  ( OK ),39.03  ( OK ),
Fri  Apr 04 13:30:00  CST,75.80  ( OK ),42.39  ( OK ),39.20  ( OK ),
Fri  Apr 04 13:45:00  CST,77.30  ( OK ),42.21  ( OK ),39.25  ( OK ),
Fri  Apr 04 14:00:00  CST,79.69  ( OK ),41.40  ( OK ),38.79  ( OK ),
Fri  Apr 04 14:15:00  CST,79.09  ( OK ),41.18  ( OK ),38.50  ( OK ),
Fri  Apr 04 14:30:00  CST,78.90  ( OK ),41.18  ( OK ),38.49  ( OK ),
Fri  Apr 04 14:45:00  CST,78.90  ( OK ),40.95  ( OK ),38.28  ( OK ),
Fri  Apr 04 15:00:00  CST,78.51  ( OK ),40.85  ( OK ),38.10  ( OK ),
Fri  Apr 04 15:15:00  CST,77.80  ( OK ),40.71  ( OK ),37.90  ( OK ),
Fri  Apr 04 15:30:00  CST,77.66  ( OK ),40.75  ( OK ),37.90  ( OK ),
Fri  Apr 04 15:45:00  CST,77.61  ( OK ),40.71  ( OK ),37.90  ( OK ),
Fri  Apr 04 16:00:00  CST,74.01  ( OK ),41.03  ( OK ),37.70  ( OK ),
Fri  Apr 04 16:15:00  CST,73.11  ( OK ),40.80  ( OK ),37.36  ( OK ),
Fri  Apr 04 16:30:00  CST,73.82  ( OK ),40.57  ( OK ),37.25  ( OK ),
Fri  Apr 04 16:45:00  CST,74.91  ( OK ),40.38  ( OK ),37.20  ( OK ),
Fri  Apr 04 17:00:00  CST,73.92  ( OK ),40.19  ( OK ),36.90  ( OK ),
Fri  Apr 04 17:15:00  CST,73.92  ( OK ),40.21  ( OK ),36.96  ( OK ),
Fri  Apr 04 17:30:00  CST,74.81  ( OK ),40.15  ( OK ),37.00  ( OK ),
Fri  Apr 04 17:45:00  CST,74.42  ( OK ),39.97  ( OK ),36.79  ( OK ),
Fri  Apr 04 18:00:00  CST,75.22  ( OK ),39.91  ( OK ),36.83  ( OK ),
Fri  Apr 04 18:15:00  CST,74.73  ( OK ),39.76  ( OK ),36.60  ( OK ),
Fri  Apr 04 18:30:00  CST,75.18  ( OK ),39.62  ( OK ),36.57  ( OK ),
Fri  Apr 04 18:45:00  CST,75.13  ( OK ),39.58  ( OK ),36.50  ( OK ),
Fri  Apr 04 19:00:00  CST,75.83  ( OK ),39.50  ( OK ),36.55  ( OK ),
Fri  Apr 04 19:15:00  CST,75.54  ( OK ),39.44  ( OK ),36.42  ( OK ),
Fri  Apr 04 19:30:00  CST,76.84  ( OK ),39.43  ( OK ),36.60  ( OK ),
Fri  Apr 04 19:45:00  CST,76.34  ( OK ),39.32  ( OK ),36.42  ( OK ),
Fri  Apr 04 20:00:00  CST,74.90  ( OK ),39.16  ( OK ),36.10  ( OK ),
Fri  Apr 04 20:15:00  CST,74.03  ( OK ),38.99  ( OK ),35.80  ( OK ),
Fri  Apr 04 20:30:00  CST,75.04  ( OK ),38.96  ( OK ),35.90  ( OK ),
Fri  Apr 04 20:45:00  CST,75.15  ( OK ),39.03  ( OK ),36.00  ( OK ),
Fri  Apr 04 21:00:00  CST,73.54  ( OK ),39.03  ( OK ),35.80  ( OK ),
Fri  Apr 04 21:15:00  CST,71.63  ( OK ),38.76  ( OK ),35.30  ( OK ),
Fri  Apr 04 21:30:00  CST,71.84  ( OK ),38.37  ( OK ),35.00  ( OK ),
Fri  Apr 04 21:45:00  CST,71.33  ( OK ),37.86  ( OK ),34.47  ( OK ),
Fri  Apr 04 22:00:00  CST,73.63  ( OK ),37.94  ( OK ),34.80  ( OK ),
Fri  Apr 04 22:15:00  CST,74.13  ( OK ),37.88  ( OK ),34.80  ( OK ),
Fri  Apr 04 22:30:00  CST,72.49  ( OK ),37.63  ( OK ),34.40  ( OK ),
Fri  Apr 04 22:45:00  CST,71.63  ( OK ),37.03  ( OK ),33.72  ( OK ),
Fri  Apr 04 23:00:00  CST,73.02  ( OK ),36.55  ( OK ),33.44  ( OK ),
Fri  Apr 04 23:15:00  CST,74.02  ( OK ),36.39  ( OK ),33.40  ( OK ),
Fri  Apr 04 23:30:00  CST,75.92  ( OK ),35.91  ( OK ),33.20  ( OK ),
Fri  Apr 04 23:45:00  CST,75.42  ( OK ),36.31  ( OK ),33.50  ( OK ),
Sat  Apr 05 00:00:00  CST,75.52  ( OK ),36.93  ( OK ),34.10  ( OK ),
Sat  Apr 05 00:15:00  CST,75.42  ( OK ),37.36  ( OK ),34.49  ( OK ),
Sat  Apr 05 00:30:00  CST,76.23  ( OK ),37.56  ( OK ),34.77  ( OK ),
Sat  Apr 05 00:45:00  CST,77.42  ( OK ),37.68  ( OK ),35.00  ( OK ),
Sat  Apr 05 01:00:00  CST,78.62  ( OK ),37.71  ( OK ),35.20  ( OK ),
Sat  Apr 05 01:15:00  CST,79.86  ( OK ),37.45  ( OK ),35.10  ( OK ),
Sat  Apr 05 01:30:00  CST,80.79  ( OK ),36.22  ( OK ),34.06  ( OK ),
Sat  Apr 05 01:45:00  CST,81.71  ( OK ),35.44  ( OK ),33.40  ( OK ),
Sat  Apr 05 02:00:00  CST,82.27  ( OK ),35.28  ( OK ),33.30  ( OK ),
Sat  Apr 05 02:15:00  CST,82.50  ( OK ),35.42  ( OK ),33.50  ( OK ),
Sat  Apr 05 02:30:00  CST,82.38  ( OK ),35.35  ( OK ),33.40  ( OK ),
Sat  Apr 05 02:45:00  CST,82.62  ( OK ),35.45  ( OK ),33.50  ( OK ),
Sat  Apr 05 03:00:00  CST,82.38  ( OK ),35.84  ( OK ),33.90  ( OK ),
Sat  Apr 05 03:15:00  CST,82.38  ( OK ),36.06  ( OK ),34.09  ( OK ),
Sat  Apr 05 03:30:00  CST,82.33  ( OK ),36.12  ( OK ),34.13  ( OK ),
Sat  Apr 05 03:45:00  CST,82.18  ( OK ),35.93  ( OK ),33.93  ( OK ),
Sat  Apr 05 04:00:00  CST,82.24  ( OK ),35.51  ( OK ),33.55  ( OK ),
Sat  Apr 05 04:15:00  CST,82.33  ( OK ),35.36  ( OK ),33.40  ( OK ),
Sat  Apr 05 04:30:00  CST,82.24  ( OK ),35.40  ( OK ),33.45  ( OK ),
Sat  Apr 05 04:45:00  CST,81.87  ( OK ),35.14  ( OK ),33.15  ( OK ),
Sat  Apr 05 05:00:00  CST,82.27  ( OK ),34.24  ( OK ),32.32  ( OK ),
Sat  Apr 05 05:15:00  CST,82.63  ( OK ),33.44  ( OK ),31.62  ( OK ),
Sat  Apr 05 05:30:00  CST,83.53  ( OK ),33.15  ( OK ),31.46  ( OK ),
Sat  Apr 05 05:45:00  CST,83.53  ( OK ),33.18  ( OK ),31.50  ( OK ),
Sat  Apr 05 06:00:00  CST,83.36  ( OK ),33.22  ( OK ),31.50  ( OK ),
Sat  Apr 05 06:15:00  CST,83.41  ( OK ),33.53  ( OK ),31.80  ( OK ),
Sat  Apr 05 06:30:00  CST,83.05  ( OK ),34.19  ( OK ),32.35  ( OK ),
Sat  Apr 05 06:45:00  CST,82.58  ( OK ),34.75  ( OK ),32.86  ( OK ),
Sat  Apr 05 07:00:00  CST,82.20  ( OK ),35.33  ( OK ),33.38  ( OK ),
Sat  Apr 05 07:15:00  CST,80.69  ( OK ),36.00  ( OK ),33.83  ( OK ),
Sat  Apr 05 07:30:00  CST,76.85  ( OK ),36.53  ( OK ),33.90  ( OK ),
Sat  Apr 05 07:45:00  CST,75.85  ( OK ),37.10  ( OK ),34.29  ( OK ),
Sat  Apr 05 08:00:00  CST,74.35  ( OK ),37.74  ( OK ),34.70  ( OK ),
Sat  Apr 05 08:15:00  CST,70.73  ( OK ),38.22  ( OK ),34.70  ( OK ),
Sat  Apr 05 08:30:00  CST,68.51  ( OK ),38.55  ( OK ),34.72  ( OK ),
Sat  Apr 05 08:45:00  CST,67.31  ( OK ),39.01  ( OK ),35.00  ( OK ),
Sat  Apr 05 09:00:00  CST,68.61  ( OK ),39.54  ( OK ),35.63  ( OK ),
Sat  Apr 05 09:15:00  CST,64.00  ( OK ),39.96  ( OK ),35.40  ( OK ),
Sat  Apr 05 09:30:00  CST,62.49  ( OK ),40.46  ( OK ),35.64  ( OK ),
Sat  Apr 05 09:45:00  CST,61.88  ( OK ),40.81  ( OK ),35.90  ( OK ),
Sat  Apr 05 10:00:00  CST,62.69  ( OK ),41.40  ( OK ),36.54  ( OK ),
Sat  Apr 05 10:15:00  CST,61.09  ( OK ),41.87  ( OK ),36.70  ( OK ),
Sat  Apr 05 10:30:00  CST,63.00  ( OK ),42.27  ( OK ),37.32  ( OK ),
Sat  Apr 05 10:45:00  CST,60.91  ( OK ),42.63  ( OK ),37.40  ( OK ),
Sat  Apr 05 11:00:00  CST,60.00  ( OK ),43.14  ( OK ),37.70  ( OK ),
Sat  Apr 05 11:15:00  CST,58.79  ( OK ),43.67  ( OK ),37.98  ( OK ),
Sat  Apr 05 11:30:00  CST,59.50  ( OK ),43.99  ( OK ),38.35  ( OK ),
Sat  Apr 05 11:45:00  CST,59.09  ( OK ),44.39  ( OK ),38.61  ( OK ),
Sat  Apr 05 12:00:00  CST,57.37  ( OK ),44.93  ( OK ),38.88  ( OK ),
Sat  Apr 05 12:15:00  CST,57.16  ( OK ),45.57  ( OK ),39.40  ( OK ),
Sat  Apr 05 12:30:00  CST,57.58  ( OK ),45.91  ( OK ),39.75  ( OK ),
Sat  Apr 05 12:45:00  CST,55.93  ( OK ),46.44  ( OK ),39.90  ( OK ),
Sat  Apr 05 13:00:00  CST,55.66  ( OK ),46.44  ( OK ),39.90  ( OK ),
Sat  Apr 05 13:15:00  CST,54.95  ( OK ),47.27  ( OK ),40.50  ( OK ),
Sat  Apr 05 13:30:00  CST,56.01  ( OK ),48.29  ( OK ),41.50  ( OK ),
Sat  Apr 05 13:45:00  CST,55.39  ( OK ),48.74  ( OK ),41.80  ( OK ),
Sat  Apr 05 14:00:00  CST,52.84  ( OK ),48.64  ( OK ),41.30  ( OK ),
Sat  Apr 05 14:15:00  CST,55.05  ( OK ),49.27  ( OK ),42.20  ( OK ),
Sat  Apr 05 14:30:00  CST,53.04  ( OK ),49.92  ( OK ),42.42  ( OK ),
Sat  Apr 05 14:45:00  CST,52.42  ( OK ),49.69  ( OK ),42.10  ( OK ),
Sat  Apr 05 15:00:00  CST,52.98  ( OK ),49.80  ( OK ),42.31  ( OK ),
Sat  Apr 05 15:15:00  CST,51.51  ( OK ),49.93  ( OK ),42.20  ( OK ),
Sat  Apr 05 15:30:00  CST,52.82  ( OK ),50.37  ( OK ),42.78  ( OK ),
Sat  Apr 05 15:45:00  CST,52.32  ( OK ),50.66  ( OK ),42.90  ( OK ),
Sat  Apr 05 16:00:00  CST,53.13  ( OK ),51.01  ( OK ),43.39  ( OK ),
Sat  Apr 05 16:15:00  CST,53.84  ( OK ),51.54  ( OK ),43.92  ( OK ),
Sat  Apr 05 16:30:00  CST,51.81  ( OK ),51.19  ( OK ),43.21  ( OK ),
Sat  Apr 05 16:45:00  CST,52.93  ( OK ),51.32  ( OK ),43.60  ( OK ),
Sat  Apr 05 17:00:00  CST,53.03  ( OK ),50.70  ( OK ),43.07  ( OK ),
Sat  Apr 05 17:15:00  CST,52.31  ( OK ),50.76  ( OK ),43.00  ( OK ),
Sat  Apr 05 17:30:00  CST,52.11  ( OK ),52.04  ( OK ),44.04  ( OK ),
Sat  Apr 05 17:45:00  CST,53.73  ( OK ),51.69  ( OK ),44.01  ( OK ),
Sat  Apr 05 18:00:00  CST,54.94  ( OK ),50.20  ( OK ),42.98  ( OK ),
Sat  Apr 05 18:15:00  CST,55.75  ( OK ),48.09  ( OK ),41.30  ( OK ),
Sat  Apr 05 18:30:00  CST,56.35  ( OK ),46.04  ( OK ),39.67  ( OK ),
Sat  Apr 05 18:45:00  CST,57.26  ( OK ),44.75  ( OK ),38.70  ( OK ),
Sat  Apr 05 19:00:00  CST,59.94  ( OK ),43.37  ( OK ),37.88  ( OK ),
Sat  Apr 05 19:15:00  CST,60.17  ( OK ),42.55  ( OK ),37.20  ( OK ),
Sat  Apr 05 19:30:00  CST,61.98  ( OK ),41.89  ( OK ),36.85  ( OK ),
Sat  Apr 05 19:45:00  CST,61.88  ( OK ),41.40  ( OK ),36.42  ( OK ),
Sat  Apr 05 20:00:00  CST,61.78  ( OK ),40.93  ( OK ),36.00  ( OK ),
Sat  Apr 05 20:15:00  CST,64.30  ( OK ),40.33  ( OK ),35.80  ( OK ),
Sat  Apr 05 20:30:00  CST,65.40  ( OK ),40.06  ( OK ),35.70  ( OK ),
Sat  Apr 05 20:45:00  CST,69.02  ( OK ),39.81  ( OK ),35.96  ( OK ),
Sat  Apr 05 21:00:00  CST,69.72  ( OK ),39.43  ( OK ),35.70  ( OK ),
Sat  Apr 05 21:15:00  CST,70.12  ( OK ),39.04  ( OK ),35.40  ( OK ),
Sat  Apr 05 21:30:00  CST,69.93  ( OK ),38.76  ( OK ),35.10  ( OK ),
Sat  Apr 05 21:45:00  CST,72.54  ( OK ),38.21  ( OK ),34.92  ( OK ),
Sat  Apr 05 22:00:00  CST,73.44  ( OK ),37.80  ( OK ),34.68  ( OK ),
Sat  Apr 05 22:15:00  CST,75.04  ( OK ),37.59  ( OK ),34.63  ( OK ),
Sat  Apr 05 22:30:00  CST,75.04  ( OK ),37.42  ( OK ),34.50  ( OK ),
Sat  Apr 05 22:45:00  CST,75.25  ( OK ),37.25  ( OK ),34.37  ( OK ),
Sat  Apr 05 23:00:00  CST,76.55  ( OK ),36.92  ( OK ),34.20  ( OK ),
Sat  Apr 05 23:15:00  CST,77.05  ( OK ),36.80  ( OK ),34.18  ( OK ),
Sat  Apr 05 23:30:00  CST,76.75  ( OK ),36.62  ( OK ),33.97  ( OK ),
Sat  Apr 05 23:45:00  CST,78.54  ( OK ),36.82  ( OK ),34.36  ( OK ),
Sun  Apr 06 00:00:00  CST,77.94  ( OK ),36.05  ( OK ),33.55  ( OK ),
Sun  Apr 06 00:15:00  CST,77.75  ( OK ),35.76  ( OK ),33.26  ( OK ),
Sun  Apr 06 00:30:00  CST,77.24  ( OK ),35.56  ( OK ),33.00  ( OK ),
Sun  Apr 06 00:45:00  CST,76.86  ( OK ),35.18  ( OK ),32.60  ( OK ),
Sun  Apr 06 01:00:00  CST,78.25  ( OK ),34.89  ( OK ),32.50  ( OK ),
Sun  Apr 06 01:15:00  CST,78.35  ( OK ),34.87  ( OK ),32.50  ( OK ),
Sun  Apr 06 01:30:00  CST,78.05  ( OK ),34.76  ( OK ),32.36  ( OK ),
Sun  Apr 06 01:45:00  CST,77.54  ( OK ),34.89  ( OK ),32.40  ( OK ),
Sun  Apr 06 02:00:00  CST,73.55  ( OK ),35.59  ( OK ),32.60  ( OK ),
Sun  Apr 06 02:15:00  CST,70.94  ( OK ),36.13  ( OK ),32.80  ( OK ),
Sun  Apr 06 02:30:00  CST,70.83  ( OK ),36.37  ( OK ),33.00  ( OK ),
Sun  Apr 06 02:45:00  CST,71.34  ( OK ),36.02  ( OK ),32.79  ( OK ),
Sun  Apr 06 03:00:00  CST,70.64  ( OK ),36.03  ( OK ),32.70  ( OK ),
Sun  Apr 06 03:15:00  CST,69.43  ( OK ),36.09  ( OK ),32.60  ( OK ),
Sun  Apr 06 03:30:00  CST,69.43  ( OK ),36.10  ( OK ),32.62  ( OK ),
Sun  Apr 06 03:45:00  CST,69.43  ( OK ),36.05  ( OK ),32.58  ( OK ),
Sun  Apr 06 04:00:00  CST,69.35  ( OK ),35.88  ( OK ),32.40  ( OK ),
Sun  Apr 06 04:15:00  CST,69.84  ( OK ),35.77  ( OK ),32.35  ( OK ),
Sun  Apr 06 04:30:00  CST,69.53  ( OK ),35.54  ( OK ),32.10  ( OK ),
Sun  Apr 06 04:45:00  CST,70.04  ( OK ),35.41  ( OK ),32.07  ( OK ),
Sun  Apr 06 05:00:00  CST,70.44  ( OK ),35.05  ( OK ),31.80  ( OK ),
Sun  Apr 06 05:15:00  CST,71.34  ( OK ),35.03  ( OK ),31.87  ( OK ),
Sun  Apr 06 05:30:00  CST,72.55  ( OK ),34.76  ( OK ),31.75  ( OK ),
Sun  Apr 06 05:45:00  CST,73.55  ( OK ),34.61  ( OK ),31.74  ( OK ),
Sun  Apr 06 06:00:00  CST,74.45  ( OK ),34.70  ( OK ),31.90  ( OK ),
Sun  Apr 06 06:15:00  CST,73.16  ( OK ),35.38  ( OK ),32.39  ( OK ),
Sun  Apr 06 06:30:00  CST,72.06  ( OK ),36.26  ( OK ),33.07  ( OK ),
Sun  Apr 06 06:45:00  CST,71.86  ( OK ),37.18  ( OK ),33.89  ( OK ),
Sun  Apr 06 07:00:00  CST,72.06  ( OK ),38.09  ( OK ),34.72  ( OK ),
Sun  Apr 06 07:15:00  CST,72.06  ( OK ),38.98  ( OK ),35.56  ( OK ),
Sun  Apr 06 07:30:00  CST,72.36  ( OK ),39.85  ( OK ),36.40  ( OK ),
Sun  Apr 06 07:45:00  CST,72.36  ( OK ),40.70  ( OK ),37.18  ( OK ),
Sun  Apr 06 08:00:00  CST,72.77  ( OK ),41.64  ( OK ),38.10  ( OK ),
Sun  Apr 06 08:15:00  CST,73.11  ( OK ),42.58  ( OK ),39.00  ( OK ),
Sun  Apr 06 08:30:00  CST,72.07  ( OK ),43.68  ( OK ),39.83  ( OK ),
Sun  Apr 06 08:45:00  CST,71.26  ( OK ),44.69  ( OK ),40.69  ( OK ),
Sun  Apr 06 09:00:00  CST,70.66  ( OK ),45.73  ( OK ),41.55  ( OK ),
Sun  Apr 06 09:15:00  CST,69.25  ( OK ),46.63  ( OK ),42.17  ( OK ),
Sun  Apr 06 09:30:00  CST,66.85  ( OK ),47.58  ( OK ),42.61  ( OK ),
Sun  Apr 06 09:45:00  CST,67.14  ( OK ),48.48  ( OK ),43.50  ( OK ),
Sun  Apr 06 10:00:00  CST,64.03  ( OK ),49.73  ( OK ),44.10  ( OK ),
Sun  Apr 06 10:15:00  CST,64.26  ( OK ),50.86  ( OK ),45.12  ( OK ),
Sun  Apr 06 10:30:00  CST,62.31  ( OK ),51.93  ( OK ),45.77  ( OK ),
Sun  Apr 06 10:45:00  CST,62.22  ( OK ),52.76  ( OK ),46.41  ( OK ),
Sun  Apr 06 11:00:00  CST,60.51  ( OK ),53.17  ( OK ),46.50  ( OK ),
Sun  Apr 06 11:15:00  CST,59.40  ( OK ),53.82  ( OK ),46.90  ( OK ),
Sun  Apr 06 11:30:00  CST,58.39  ( OK ),55.00  ( OK ),47.70  ( OK ),
Sun  Apr 06 11:45:00  CST,58.09  ( OK ),55.59  ( OK ),48.14  ( OK ),
Sun  Apr 06 12:00:00  CST,57.01  ( OK ),56.07  ( OK ),48.40  ( OK ),
Sun  Apr 06 12:15:00  CST,55.87  ( OK ),56.24  ( OK ),48.30  ( OK ),
Sun  Apr 06 12:30:00  CST,55.68  ( OK ),56.91  ( OK ),48.82  ( OK ),
Sun  Apr 06 12:45:00  CST,55.28  ( OK ),57.08  ( OK ),48.90  ( OK ),
Sun  Apr 06 13:00:00  CST,54.47  ( OK ),58.05  ( OK ),49.53  ( OK ),
Sun  Apr 06 13:15:00  CST,53.95  ( OK ),58.27  ( OK ),49.60  ( OK ),
Sun  Apr 06 13:30:00  CST,53.67  ( OK ),58.79  ( OK ),49.99  ( OK ),
Sun  Apr 06 13:45:00  CST,53.52  ( OK ),58.94  ( OK ),50.10  ( OK ),
Sun  Apr 06 14:00:00  CST,52.46  ( OK ),58.13  ( OK ),49.20  ( OK ),
Sun  Apr 06 14:15:00  CST,51.95  ( OK ),58.08  ( OK ),49.04  ( OK ),
Sun  Apr 06 14:30:00  CST,52.09  ( OK ),58.13  ( OK ),49.12  ( OK ),
Sun  Apr 06 14:45:00  CST,51.85  ( OK ),57.54  ( OK ),48.60  ( OK ),
Sun  Apr 06 15:00:00  CST,52.46  ( OK ),57.98  ( OK ),49.08  ( OK ),
Sun  Apr 06 15:15:00  CST,52.05  ( OK ),58.13  ( OK ),49.10  ( OK ),
Sun  Apr 06 15:30:00  CST,52.15  ( OK ),58.24  ( OK ),49.21  ( OK ),
Sun  Apr 06 15:45:00  CST,51.14  ( OK ),58.84  ( OK ),49.50  ( OK ),
Sun  Apr 06 16:00:00  CST,50.94  ( OK ),58.59  ( OK ),49.26  ( OK ),
Sun  Apr 06 16:15:00  CST,50.84  ( OK ),58.22  ( OK ),48.96  ( OK ),
Sun  Apr 06 16:30:00  CST,52.67  ( OK ),58.18  ( OK ),49.30  ( OK ),
Sun  Apr 06 16:45:00  CST,52.16  ( OK ),58.12  ( OK ),49.13  ( OK ),
Sun  Apr 06 17:00:00  CST,52.30  ( OK ),58.06  ( OK ),49.10  ( OK ),
Sun  Apr 06 17:15:00  CST,52.87  ( OK ),57.75  ( OK ),48.99  ( OK ),
Sun  Apr 06 17:30:00  CST,54.89  ( OK ),57.00  ( OK ),48.77  ( OK ),
Sun  Apr 06 17:45:00  CST,54.99  ( OK ),56.31  ( OK ),48.20  ( OK ),
Sun  Apr 06 18:00:00  CST,56.10  ( OK ),55.46  ( OK ),47.68  ( OK ),
Sun  Apr 06 18:15:00  CST,57.31  ( OK ),54.30  ( OK ),46.92  ( OK ),
Sun  Apr 06 18:30:00  CST,58.82  ( OK ),53.20  ( OK ),46.26  ( OK ),
Sun  Apr 06 18:45:00  CST,60.94  ( OK ),52.44  ( OK ),45.97  ( OK ),
Sun  Apr 06 19:00:00  CST,61.54  ( OK ),52.15  ( OK ),45.80  ( OK ),
Sun  Apr 06 19:15:00  CST,62.76  ( OK ),52.07  ( OK ),45.94  ( OK ),
Sun  Apr 06 19:30:00  CST,64.06  ( OK ),51.45  ( OK ),45.60  ( OK ),
Sun  Apr 06 19:45:00  CST,64.35  ( OK ),50.70  ( OK ),45.00  ( OK ),
Sun  Apr 06 20:00:00  CST,64.15  ( OK ),50.18  ( OK ),44.50  ( OK ),
Sun  Apr 06 20:15:00  CST,69.57  ( OK ),49.57  ( OK ),44.86  ( OK ),
Sun  Apr 06 20:30:00  CST,67.06  ( OK ),48.70  ( OK ),43.66  ( OK ),
Sun  Apr 06 20:45:00  CST,67.06  ( OK ),47.68  ( OK ),42.75  ( OK ),
Sun  Apr 06 21:00:00  CST,72.05  ( OK ),46.81  ( OK ),42.75  ( OK ),
Sun  Apr 06 21:15:00  CST,71.38  ( OK ),46.04  ( OK ),41.96  ( OK ),
Sun  Apr 06 21:30:00  CST,71.08  ( OK ),45.36  ( OK ),41.28  ( OK ),
Sun  Apr 06 21:45:00  CST,71.98  ( OK ),44.54  ( OK ),40.67  ( OK ),
Sun  Apr 06 22:00:00  CST,72.08  ( OK ),43.95  ( OK ),40.11  ( OK ),
Sun  Apr 06 22:15:00  CST,73.99  ( OK ),43.44  ( OK ),39.91  ( OK ),
Sun  Apr 06 22:30:00  CST,76.70  ( OK ),43.00  ( OK ),39.89  ( OK ),
Sun  Apr 06 22:45:00  CST,78.29  ( OK ),42.52  ( OK ),39.70  ( OK ),
Sun  Apr 06 23:00:00  CST,77.89  ( OK ),42.30  ( OK ),39.40  ( OK ),
Sun  Apr 06 23:15:00  CST,77.29  ( OK ),41.89  ( OK ),38.90  ( OK ),
Sun  Apr 06 23:30:00  CST,77.90  ( OK ),41.49  ( OK ),38.61  ( OK ),
Sun  Apr 06 23:45:00  CST,78.50  ( OK ),41.19  ( OK ),38.49  ( OK ),
Mon  Apr 07 00:00:00  CST,79.69  ( OK ),40.76  ( OK ),38.20  ( OK ),
Mon  Apr 07 00:15:00  CST,80.39  ( OK ),40.27  ( OK ),37.80  ( OK ),
Mon  Apr 07 00:30:00  CST,80.98  ( OK ),40.02  ( OK ),37.69  ( OK ),
Mon  Apr 07 00:45:00  CST,81.37  ( OK ),39.71  ( OK ),37.42  ( OK ),
Mon  Apr 07 01:00:00  CST,81.68  ( OK ),39.44  ( OK ),37.20  ( OK ),
Mon  Apr 07 01:15:00  CST,81.64  ( OK ),39.22  ( OK ),37.00  ( OK ),
Mon  Apr 07 01:30:00  CST,82.18  ( OK ),39.12  ( OK ),36.99  ( OK ),
Mon  Apr 07 01:45:00  CST,82.29  ( OK ),38.99  ( OK ),36.82  ( OK ),
Mon  Apr 07 02:00:00  CST,82.60  ( OK ),38.81  ( OK ),36.71  ( OK ),
Mon  Apr 07 02:15:00  CST,82.69  ( OK ),38.48  ( OK ),36.40  ( OK ),
Mon  Apr 07 02:30:00  CST,82.82  ( OK ),38.19  ( OK ),36.12  ( OK ),
Mon  Apr 07 02:45:00  CST,83.53  ( OK ),38.07  ( OK ),36.10  ( OK ),
Mon  Apr 07 03:00:00  CST,83.77  ( OK ),38.07  ( OK ),36.14  ( OK ),
Mon  Apr 07 03:15:00  CST,83.59  ( OK ),38.15  ( OK ),36.20  ( OK ),
Mon  Apr 07 03:30:00  CST,83.32  ( OK ),38.23  ( OK ),36.27  ( OK ),
Mon  Apr 07 03:45:00  CST,83.31  ( OK ),38.39  ( OK ),36.40  ( OK ),
Mon  Apr 07 04:00:00  CST,83.53  ( OK ),38.55  ( OK ),36.60  ( OK ),
Mon  Apr 07 04:15:00  CST,83.47  ( OK ),38.79  ( OK ),36.80  ( OK ),
Mon  Apr 07 04:30:00  CST,83.30  ( OK ),39.09  ( OK ),37.06  ( OK ),
Mon  Apr 07 04:45:00  CST,83.04  ( OK ),39.49  ( OK ),37.40  ( OK ),
Mon  Apr 07 05:00:00  CST,83.20  ( OK ),39.75  ( OK ),37.70  ( OK ),
