TT,Global_OAH-global-Percentage,Global_OAT-global-degree Fahrenheit,OAWB-global-degree Fahrenheit,
Fri  Feb 21 19:00:00  CST,76.21  ( OK ),32.25  ( OK ),,
Fri  Feb 21 19:15:00  CST,76.30  ( OK ),32.19  ( OK ),,
Fri  Feb 21 19:30:00  CST,76.75  ( OK ),32.22  ( OK ),,
Fri  Feb 21 19:45:00  CST,77.51  ( OK ),32.17  ( OK ),,
Fri  Feb 21 20:00:00  CST,78.01  ( OK ),32.01  ( OK ),,
Fri  Feb 21 20:15:00  CST,79.21  ( OK ),31.83  ( OK ),,
Fri  Feb 21 20:30:00  CST,79.90  ( OK ),31.61  ( OK ),,
Fri  Feb 21 20:45:00  CST,80.58  ( OK ),31.29  ( OK ),,
Fri  Feb 21 21:00:00  CST,80.88  ( OK ),31.14  ( OK ),,
Fri  Feb 21 21:15:00  CST,81.37  ( OK ),31.63  ( OK ),,
Fri  Feb 21 21:30:00  CST,79.71  ( OK ),32.10  ( OK ),,
Fri  Feb 21 21:45:00  CST,78.62  ( OK ),32.13  ( OK ),,
Fri  Feb 21 22:00:00  CST,70.89  ( OK ),31.53  ( OK ),,
Fri  Feb 21 22:15:00  CST,66.36  ( OK ),31.27  ( OK ),,
Fri  Feb 21 22:30:00  CST,62.26  ( OK ),30.98  ( OK ),,
Fri  Feb 21 22:45:00  CST,63.77  ( OK ),30.61  ( OK ),,
Fri  Feb 21 23:00:00  CST,61.64  ( OK ),30.04  ( OK ),,
Fri  Feb 21 23:15:00  CST,63.36  ( OK ),29.25  ( OK ),,
Fri  Feb 21 23:30:00  CST,62.46  ( OK ),28.64  ( OK ),,
Fri  Feb 21 23:45:00  CST,62.75  ( OK ),28.21  ( OK ),,
Sat  Feb 22 00:00:00  CST,64.68  ( OK ),27.92  ( OK ),,
Sat  Feb 22 00:15:00  CST,65.99  ( OK ),27.63  ( OK ),,
Sat  Feb 22 00:30:00  CST,66.80  ( OK ),27.37  ( OK ),,
Sat  Feb 22 00:45:00  CST,68.61  ( OK ),27.13  ( OK ),,
Sat  Feb 22 01:00:00  CST,69.51  ( OK ),26.87  ( OK ),,
Sat  Feb 22 01:15:00  CST,71.02  ( OK ),26.61  ( OK ),,
Sat  Feb 22 01:30:00  CST,71.73  ( OK ),26.53  ( OK ),,
Sat  Feb 22 01:45:00  CST,72.94  ( OK ),26.54  ( OK ),,
Sat  Feb 22 02:00:00  CST,73.94  ( OK ),26.44  ( OK ),,
Sat  Feb 22 02:15:00  CST,74.04  ( OK ),26.28  ( OK ),,
Sat  Feb 22 02:30:00  CST,75.55  ( OK ),26.18  ( OK ),,
Sat  Feb 22 02:45:00  CST,74.54  ( OK ),26.12  ( OK ),,
Sat  Feb 22 03:00:00  CST,72.94  ( OK ),26.05  ( OK ),,
Sat  Feb 22 03:15:00  CST,72.44  ( OK ),25.95  ( OK ),,
Sat  Feb 22 03:30:00  CST,74.55  ( OK ),25.76  ( OK ),,
Sat  Feb 22 03:45:00  CST,74.54  ( OK ),25.45  ( OK ),,
Sat  Feb 22 04:00:00  CST,73.84  ( OK ),25.28  ( OK ),,
Sat  Feb 22 04:15:00  CST,73.74  ( OK ),25.11  ( OK ),,
Sat  Feb 22 04:30:00  CST,73.54  ( OK ),24.95  ( OK ),,
Sat  Feb 22 04:45:00  CST,73.14  ( OK ),24.64  ( OK ),,
Sat  Feb 22 05:00:00  CST,74.70  ( OK ),24.54  ( OK ),,
Sat  Feb 22 05:15:00  CST,74.25  ( OK ),24.41  ( OK ),,
Sat  Feb 22 05:30:00  CST,74.58  ( OK ),24.35  ( OK ),,
Sat  Feb 22 05:45:00  CST,75.20  ( OK ),24.18  ( OK ),,
Sat  Feb 22 06:00:00  CST,68.90  ( OK ),26.58  ( OK ),,
Sat  Feb 22 06:15:00  CST,74.02  ( OK ),24.50  ( OK ),,
Sat  Feb 22 06:30:00  CST,76.31  ( OK ),24.00  ( OK ),,
Sat  Feb 22 06:45:00  CST,77.75  ( OK ),23.93  ( OK ),,
Sat  Feb 22 07:00:00  CST,77.90  ( OK ),23.96  ( OK ),,
Sat  Feb 22 07:15:00  CST,77.31  ( OK ),24.19  ( OK ),,
Sat  Feb 22 07:30:00  CST,75.96  ( OK ),24.73  ( OK ),,
Sat  Feb 22 07:45:00  CST,74.50  ( OK ),25.50  ( OK ),,
Sat  Feb 22 08:00:00  CST,71.26  ( OK ),25.97  ( OK ),,
Sat  Feb 22 08:15:00  CST,70.32  ( OK ),26.25  ( OK ),,
Sat  Feb 22 08:30:00  CST,69.42  ( OK ),26.93  ( OK ),,
Sat  Feb 22 08:45:00  CST,68.29  ( OK ),27.64  ( OK ),,
Sat  Feb 22 09:00:00  CST,67.96  ( OK ),28.10  ( OK ),,
Sat  Feb 22 09:15:00  CST,65.88  ( OK ),28.17  ( OK ),,
Sat  Feb 22 09:30:00  CST,64.87  ( OK ),28.51  ( OK ),,
Sat  Feb 22 09:45:00  CST,67.49  ( OK ),28.93  ( OK ),,
Sat  Feb 22 10:00:00  CST,64.67  ( OK ),29.78  ( OK ),,
Sat  Feb 22 10:15:00  CST,62.68  ( OK ),30.23  ( OK ),,
Sat  Feb 22 10:30:00  CST,62.56  ( OK ),30.96  ( OK ),,
Sat  Feb 22 10:45:00  CST,60.45  ( OK ),30.96  ( OK ),,
Sat  Feb 22 11:00:00  CST,61.24  ( OK ),30.63  ( OK ),,
Sat  Feb 22 11:15:00  CST,63.75  ( OK ),30.96  ( OK ),,
Sat  Feb 22 11:30:00  CST,58.12  ( OK ),31.92  ( OK ),,
Sat  Feb 22 11:45:00  CST,58.03  ( OK ),32.33  ( OK ),,
Sat  Feb 22 12:00:00  CST,57.73  ( OK ),31.88  ( OK ),,
Sat  Feb 22 12:15:00  CST,57.93  ( OK ),32.24  ( OK ),,
Sat  Feb 22 12:30:00  CST,57.73  ( OK ),32.49  ( OK ),,
Sat  Feb 22 12:45:00  CST,58.03  ( OK ),33.28  ( OK ),,
Sat  Feb 22 13:00:00  CST,55.33  ( OK ),34.22  ( OK ),,
Sat  Feb 22 13:15:00  CST,55.70  ( OK ),34.26  ( OK ),,
Sat  Feb 22 13:30:00  CST,55.30  ( OK ),35.14  ( OK ),,
Sat  Feb 22 13:45:00  CST,53.17  ( OK ),35.48  ( OK ),,
Sat  Feb 22 14:00:00  CST,50.43  ( OK ),34.75  ( OK ),,
Sat  Feb 22 14:15:00  CST,53.99  ( OK ),34.40  ( OK ),,
Sat  Feb 22 14:30:00  CST,56.41  ( OK ),35.03  ( OK ),,
Sat  Feb 22 14:45:00  CST,57.11  ( OK ),35.22  ( OK ),,
Sat  Feb 22 15:00:00  CST,57.21  ( OK ),35.33  ( OK ),,
Sat  Feb 22 15:15:00  CST,57.93  ( OK ),35.37  ( OK ),,
Sat  Feb 22 15:30:00  CST,55.60  ( OK ),35.23  ( OK ),,
Sat  Feb 22 15:45:00  CST,53.75  ( OK ),34.88  ( OK ),,
Sat  Feb 22 16:00:00  CST,53.69  ( OK ),34.81  ( OK ),,
Sat  Feb 22 16:15:00  CST,54.60  ( OK ),34.74  ( OK ),,
Sat  Feb 22 16:30:00  CST,56.71  ( OK ),34.55  ( OK ),,
Sat  Feb 22 16:45:00  CST,57.72  ( OK ),34.03  ( OK ),,
Sat  Feb 22 17:00:00  CST,58.42  ( OK ),33.59  ( OK ),,
Sat  Feb 22 17:15:00  CST,58.73  ( OK ),33.07  ( OK ),,
Sat  Feb 22 17:30:00  CST,59.13  ( OK ),32.39  ( OK ),,
Sat  Feb 22 17:45:00  CST,60.96  ( OK ),31.82  ( OK ),,
Sat  Feb 22 18:00:00  CST,62.41  ( OK ),31.50  ( OK ),,
Sat  Feb 22 18:15:00  CST,62.90  ( OK ),31.26  ( OK ),,
Sat  Feb 22 18:30:00  CST,63.98  ( OK ),31.00  ( OK ),,
Sat  Feb 22 18:45:00  CST,65.38  ( OK ),30.65  ( OK ),,
Sat  Feb 22 19:00:00  CST,65.78  ( OK ),30.58  ( OK ),,
Sat  Feb 22 19:15:00  CST,65.10  ( OK ),30.52  ( OK ),,
Sat  Feb 22 19:30:00  CST,65.08  ( OK ),30.47  ( OK ),,
Sat  Feb 22 19:45:00  CST,66.89  ( OK ),30.35  ( OK ),,
Sat  Feb 22 20:00:00  CST,67.79  ( OK ),30.16  ( OK ),,
Sat  Feb 22 20:15:00  CST,69.00  ( OK ),29.89  ( OK ),,
Sat  Feb 22 20:30:00  CST,70.61  ( OK ),29.52  ( OK ),,
Sat  Feb 22 20:45:00  CST,70.55  ( OK ),29.22  ( OK ),,
Sat  Feb 22 21:00:00  CST,72.14  ( OK ),29.00  ( OK ),,
Sat  Feb 22 21:15:00  CST,72.42  ( OK ),28.74  ( OK ),,
Sat  Feb 22 21:30:00  CST,72.82  ( OK ),28.58  ( OK ),,
Sat  Feb 22 21:45:00  CST,72.62  ( OK ),28.34  ( OK ),,
Sat  Feb 22 22:00:00  CST,69.90  ( OK ),28.23  ( OK ),,
Sat  Feb 22 22:15:00  CST,68.30  ( OK ),27.89  ( OK ),,
Sat  Feb 22 22:30:00  CST,68.30  ( OK ),27.34  ( OK ),,
Sat  Feb 22 22:45:00  CST,67.99  ( OK ),26.79  ( OK ),,
Sat  Feb 22 23:00:00  CST,68.39  ( OK ),26.38  ( OK ),,
Sat  Feb 22 23:15:00  CST,70.31  ( OK ),25.87  ( OK ),,
Sat  Feb 22 23:30:00  CST,71.02  ( OK ),25.33  ( OK ),,
Sat  Feb 22 23:45:00  CST,72.34  ( OK ),24.96  ( OK ),,
Sun  Feb 23 00:00:00  CST,72.44  ( OK ),24.59  ( OK ),,
Sun  Feb 23 00:15:00  CST,67.62  ( OK ),26.45  ( OK ),,
Sun  Feb 23 00:30:00  CST,71.92  ( OK ),24.43  ( OK ),,
Sun  Feb 23 00:45:00  CST,73.74  ( OK ),23.72  ( OK ),,
